"Summary","Description","Start Date","Due Date","Epic Name","Labels"
"[Dunham Summit] Phase 1: Mission & Strategy","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 1: Mission & Strategy

To-Do:
[ ] Define primary objective for the conference (leads, awareness, or partnerships)
[ ] Set target MQLs, SQLs, and post-session meetings
[ ] Define speaking session CTA and desired audience action
[ ] Confirm budget allocation and minimum ROI threshold
[ ] Get faith alignment sign-off from leadership
[ ] Assign event owner and primary speaking lead","2025-09-16","2025-10-14","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 2: Theme & Audience","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 2: Theme & Audience

To-Do:
[ ] Align session messaging with the Dunham Summit audience profile
[ ] Identify ICP personas most likely to be in the room
[ ] Draft full presentation outline and key talking points
[ ] Design handouts, leave-behinds, or post-session digital resources
[ ] Build a targeted pre-conference outreach list for expected attendees
[ ] Get content and messaging sign-off from leadership","2025-10-28","2025-11-11","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 3: Systems & Planning","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 3: Systems & Planning

To-Do:
[ ] Configure HubSpot to capture leads from the speaking session
[ ] Build the run-of-show and timeline for the speaking slot
[ ] Coordinate all session logistics with the Dunham Summit organizer
[ ] Test and finalize slide deck, A/V setup, and contingency plan
[ ] Confirm travel and accommodation for the speaking team","2025-11-25","2025-12-09","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 4: Final Prep","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 4: Final Prep

To-Do:
[ ] Complete final run-through and rehearsal of the full presentation
[ ] Confirm all session logistics with the organizer (time, room, A/V)
[ ] Assign an on-site support owner to handle logistics day-of
[ ] Prepare post-session follow-up links and resource delivery mechanism
[ ] Get final creative and content sign-off","2025-12-23","2026-01-05","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 5: Execution","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 5: Execution

To-Do:
[ ] Arrive early — confirm A/V, clicker, and stage setup are working
[ ] Deliver the speaking session as prepared
[ ] Facilitate Q&A and engage with the audience
[ ] Collect contact info and leads from session attendees
[ ] Flag the top 5 hottest prospects for same-day follow-up","2026-01-06","2026-01-08","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 6: Follow-up","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 6: Follow-up

To-Do:
[ ] Upload all session leads to HubSpot within 48 hours
[ ] Send personalized follow-up emails referencing the session content
[ ] Activate the post-event nurture sequence in HubSpot
[ ] Brief the sales team on high-priority prospects to contact
[ ] Share the session recording or deck with attendees if available","2026-01-09","2026-01-15","Dunham Summit","event-marketing"
"[Dunham Summit] Phase 7: ROI Analysis","Event: Dunham Summit
Location: Lake Buena Vista, FL
Phase 7: ROI Analysis

To-Do:
[ ] Pull the 30-day MQL and pipeline report tied to Dunham Summit leads
[ ] Calculate speaking ROI vs. the event investment
[ ] Document session performance: attendance, leads, and conversions
[ ] Deliver the 60-day and 90-day funnel updates to leadership
[ ] Use data to evaluate Dunham Summit for future year investment","2026-02-07","2026-02-07","Dunham Summit","event-marketing"
"[Pastors Retreat (1)] Phase 1: Mission & Strategy","Event: Pastors Retreat (1)
Location: San Diego, CA
Phase 1: Mission & Strategy

To-Do:
[ ] Define retreat purpose and spiritual/relationship objectives
[ ] Set attendance target and guest qualification criteria
[ ] Confirm $80,000 budget and get the ROI framework approved
[ ] Document faith guardrails and hospitality standards for the experience
[ ] Assign retreat owner and planning team
[ ] Begin venue research and create a shortlist of 2–3 options","2025-12-31","2026-01-28","Pastors Retreat (1)","event-marketing"
"[Pastors Retreat (1)] Phase 2: Theme & Audience","Event: Pastors Retreat (1)
Location: San Diego, CA
Phase 2: Theme & Audience

To-Do:
[ ] Finalize retreat theme, visual identity, and invitation tone
[ ] Build the finalized ICP guest list of qualified pastors and ministry leaders
[ ] Develop a personalized invitation strategy and outreach plan
[ ] Finalize messaging, copy, and design for all invitation materials
[ ] Send invitations and track RSVPs in HubSpot","2026-02-11","2026-02-25","Pastors Retreat (1)","event-marketing"
"[Pastors Retreat (1)] Phase 3: Systems & Planning","Event: Pastors Retreat (1)
Location: San Diego, CA
Phase 3: Systems & Planning

To-Do:
[ ] Configure HubSpot for full guest tracking and RSVP management
[ ] Build a detailed run-of-show and session schedule for the retreat
[ ] Execute venue contract and lock the room block
[ ] Confirm all vendors: A/V, catering, activities, and transportation
[ ] Finalize critical path and risk register
[ ] Coordinate travel, ground transportation, and room assignments for all guests","2026-03-11","2026-03-25","Pastors Retreat (1)","event-marketing"
